seed,condition,score
0,random,0.3706
1,random,0.4051
2,random,0.3766
3,random,0.4025
4,random,0.3783
5,random,0.4050
6,random,0.3652
7,random,0.3858
8,random,0.3911
9,random,0.3601
10,random,0.3857
11,random,0.3875
12,random,0.3742
13,random,0.3980
14,random,0.3718
15,random,0.3749
16,random,0.5041
17,random,0.3749
18,random,0.3721
19,random,0.4233
20,random,0.3931
21,random,0.3768
22,random,0.3718
23,random,0.4026
24,random,0.4049
25,random,0.6231
26,random,0.3927
27,random,0.4902
28,random,0.3854
29,random,0.4255
0,mcts_100,0.3880
1,mcts_100,0.3926
2,mcts_100,0.2909
3,mcts_100,0.3997
4,mcts_100,0.3802
5,mcts_100,0.2833
6,mcts_100,0.3048
7,mcts_100,0.3728
8,mcts_100,0.3115
9,mcts_100,0.2921
10,mcts_100,0.4012
11,mcts_100,0.3306
12,mcts_100,0.3155
13,mcts_100,0.4147
14,mcts_100,0.3752
15,mcts_100,0.2927
16,mcts_100,0.4047
17,mcts_100,0.3091
18,mcts_100,0.3910
19,mcts_100,0.3127
20,mcts_100,0.2954
21,mcts_100,0.2883
22,mcts_100,0.3830
23,mcts_100,0.4066
24,mcts_100,0.2956
25,mcts_100,0.3699
26,mcts_100,0.2902
27,mcts_100,0.2881
28,mcts_100,0.2870
29,mcts_100,0.3771
0,mcts_500,0.5729
1,mcts_500,0.5946
2,mcts_500,0.5694
3,mcts_500,0.3974
4,mcts_500,0.3868
5,mcts_500,0.5711
6,mcts_500,0.3423
7,mcts_500,0.3667
8,mcts_500,0.6284
9,mcts_500,0.6456
10,mcts_500,0.4992
11,mcts_500,0.6285
12,mcts_500,0.3330
13,mcts_500,0.3954
14,mcts_500,0.4947
15,mcts_500,0.6436
16,mcts_500,0.6387
17,mcts_500,0.4060
18,mcts_500,0.6251
19,mcts_500,0.6178
20,mcts_500,0.3374
21,mcts_500,0.6018
22,mcts_500,0.4661
23,mcts_500,0.5794
24,mcts_500,0.4964
25,mcts_500,0.6260
26,mcts_500,0.6037
27,mcts_500,0.6318
28,mcts_500,0.3810
29,mcts_500,0.4728
0,mcts_1000,0.5924
1,mcts_1000,0.6251
2,mcts_1000,0.5612
3,mcts_1000,0.5757
4,mcts_1000,0.5915
5,mcts_1000,0.6156
6,mcts_1000,0.6571
7,mcts_1000,0.6504
8,mcts_1000,0.6568
9,mcts_1000,0.6003
10,mcts_1000,0.6256
11,mcts_1000,0.6386
12,mcts_1000,0.6009
13,mcts_1000,0.6434
14,mcts_1000,0.6186
15,mcts_1000,0.6163
16,mcts_1000,0.5634
17,mcts_1000,0.5677
18,mcts_1000,0.5965
19,mcts_1000,0.6424
20,mcts_1000,0.5629
21,mcts_1000,0.6054
22,mcts_1000,0.6447
23,mcts_1000,0.5563
24,mcts_1000,0.6366
25,mcts_1000,0.5876
26,mcts_1000,0.5846
27,mcts_1000,0.6357
28,mcts_1000,0.6113
29,mcts_1000,0.6233
