seed,condition,score
0,random,0.3436
1,random,0.4082
2,random,0.2938
3,random,0.3968
4,random,0.4250
5,random,0.4016
6,random,0.4168
7,random,0.3287
8,random,0.3810
9,random,0.5965
10,random,0.3607
11,random,0.4243
12,random,0.3852
13,random,0.4348
14,random,0.4163
15,random,0.5944
16,random,0.4416
17,random,0.3788
18,random,0.3842
19,random,0.4724
20,random,0.3820
21,random,0.3956
22,random,0.4137
23,random,0.4555
24,random,0.4282
25,random,0.6452
26,random,0.3708
27,random,0.4535
28,random,0.3292
29,random,0.6244
0,mcts_100,0.3860
1,mcts_100,0.4797
2,mcts_100,0.4059
3,mcts_100,0.3939
4,mcts_100,0.4114
5,mcts_100,0.3916
6,mcts_100,0.4042
7,mcts_100,0.4041
8,mcts_100,0.4016
9,mcts_100,0.4135
10,mcts_100,0.3897
11,mcts_100,0.3982
12,mcts_100,0.3680
13,mcts_100,0.3467
14,mcts_100,0.3847
15,mcts_100,0.3097
16,mcts_100,0.4195
17,mcts_100,0.2959
18,mcts_100,0.4057
19,mcts_100,0.4220
20,mcts_100,0.3325
21,mcts_100,0.3903
22,mcts_100,0.3000
23,mcts_100,0.4148
24,mcts_100,0.4059
25,mcts_100,0.3803
26,mcts_100,0.3859
27,mcts_100,0.3151
28,mcts_100,0.2891
29,mcts_100,0.3867
0,mcts_500,0.5563
1,mcts_500,0.5419
2,mcts_500,0.6211
3,mcts_500,0.3559
4,mcts_500,0.4204
5,mcts_500,0.5421
6,mcts_500,0.6511
7,mcts_500,0.4274
8,mcts_500,0.4821
9,mcts_500,0.6425
10,mcts_500,0.5993
11,mcts_500,0.6607
12,mcts_500,0.3959
13,mcts_500,0.3809
14,mcts_500,0.6024
15,mcts_500,0.5608
16,mcts_500,0.6674
17,mcts_500,0.3278
18,mcts_500,0.5275
19,mcts_500,0.5557
20,mcts_500,0.3857
21,mcts_500,0.6275
22,mcts_500,0.5239
23,mcts_500,0.5931
24,mcts_500,0.6496
25,mcts_500,0.5309
26,mcts_500,0.5249
27,mcts_500,0.4222
28,mcts_500,0.3822
29,mcts_500,0.4694
0,mcts_1000,0.6451
1,mcts_1000,0.6262
2,mcts_1000,0.6229
3,mcts_1000,0.6452
4,mcts_1000,0.6574
5,mcts_1000,0.6550
6,mcts_1000,0.5368
7,mcts_1000,0.6323
8,mcts_1000,0.6251
9,mcts_1000,0.6359
10,mcts_1000,0.5576
11,mcts_1000,0.5347
12,mcts_1000,0.6348
13,mcts_1000,0.5645
14,mcts_1000,0.6170
15,mcts_1000,0.6504
16,mcts_1000,0.5952
17,mcts_1000,0.5076
18,mcts_1000,0.6223
19,mcts_1000,0.6486
20,mcts_1000,0.6883
21,mcts_1000,0.5556
22,mcts_1000,0.6665
23,mcts_1000,0.7077
24,mcts_1000,0.5921
25,mcts_1000,0.6237
26,mcts_1000,0.5420
27,mcts_1000,0.6492
28,mcts_1000,0.4078
29,mcts_1000,0.6087
